City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,66.67,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
1,Mataura,NZ,51.48,broken clouds,-46.1927,168.8643,Ellie's Villa
2,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
3,Kieta,PG,80.89,light rain,-6.2167,155.6333,Uruna Bay Retreat
4,Atar,MR,65.21,overcast clouds,20.5169,-13.0499,Oumou Elghoura
5,Punta Arenas,CL,43.29,overcast clouds,-53.15,-70.9167,Hotel Hain
6,Codrington,AU,62.94,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
9,Hermanus,ZA,66.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
11,Atuona,PF,78.26,light rain,-9.8,-139.0333,Villa Enata
12,Cape Town,ZA,64.27,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
15,Akyab,MM,82.89,few clouds,20.15,92.9,Hotel Memory
16,Carnarvon,AU,76.96,clear sky,-24.8667,113.6333,Hospitality Carnarvon
17,Jhelum,PK,73.0,clear sky,32.9331,73.7264,Tulip Riverside Hotel And Restaurant Jehlum
18,Hobart,AU,71.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
19,Kruisfontein,ZA,63.88,light rain,-34.0033,24.7314,Oyster Bay House Rental
20,Axim,GH,82.09,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
21,Ponta Do Sol,PT,65.03,few clouds,32.6667,-17.1,Hotel do Campo
22,Tlaxco,MX,48.99,overcast clouds,19.6167,-98.1167,Hacienda Santa María Xalostoc
25,Touros,BR,78.84,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
26,Rikitea,PF,76.08,light rain,-23.1203,-134.9692,People ThankYou
27,Lebu,CL,54.64,clear sky,-37.6167,-73.65,Hostal Las Lilas
29,Esplanada,BR,69.91,scattered clouds,-11.7961,-37.945,Hotel Pousada Hits Mar
31,Thaba-Tseka,LS,60.6,clear sky,-29.522,28.6084,Motherland Guesthouse
32,Mahebourg,MU,84.49,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
36,Ribeira Grande,PT,64.8,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
40,Fortuna,US,49.35,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
41,Cockburn Town,TC,80.22,few clouds,21.4612,-71.1419,Osprey Beach Hotel
43,East London,ZA,76.14,scattered clouds,-33.0153,27.9116,Tu Casa
44,New Norfolk,AU,70.92,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
45,Stornoway,GB,40.96,scattered clouds,58.2093,-6.3865,Caladh Inn
47,Port Elizabeth,ZA,66.09,moderate rain,-33.918,25.5701,39 On Nile Guest House
48,Bluff,NZ,51.8,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
51,Geraldton,AU,81.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
52,Arraial Do Cabo,BR,73.11,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
53,Butaritari,KI,82.56,light rain,3.0707,172.7902,Isles Sunset Lodge
55,Renqiu,CN,48.85,clear sky,38.6989,116.0936,City Garden Renqiu Meishicheng Store
57,Kapaa,US,72.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
58,Busselton,AU,77.09,clear sky,-33.65,115.3333,Observatory Guest House
59,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
60,Dalby,AU,74.98,moderate rain,-27.1833,151.2667,Kobbers Motor Inn Dalby
61,Kutum,SD,72.37,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
62,Dehloran,IR,68.31,broken clouds,32.6941,47.2679,کافه گیم استورم
64,Ternate,ID,82.6,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
65,Dingle,PH,80.46,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
66,Mao,ES,46.96,few clouds,39.8885,4.2658,ARTIEM Capri
67,Jamestown,US,49.71,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
68,Huarmey,PE,65.44,overcast clouds,-10.0681,-78.1522,Hotel Miramar
69,Zhicheng,CN,66.65,clear sky,30.2956,111.5047,Wangjiang Building
70,Kupang,ID,77.58,very heavy rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
74,Phalodi,IN,79.59,clear sky,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
75,Bathsheba,BB,79.63,overcast clouds,13.2167,-59.5167,Atlantis Hotel
77,Tateyama,JP,53.1,light rain,34.9833,139.8667,Tateyama Seaside Hotel
79,Port Lincoln,AU,63.34,clear sky,-34.7333,135.8667,Port Lincoln Hotel
80,Castro,BR,58.37,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
85,Utinga,BR,77.85,scattered clouds,-5.8172,-35.3954,Espaço de Lazer Érica Fernandes
86,Cabedelo,BR,79.47,few clouds,-6.9811,-34.8339,Hotel Pigalle
87,Broken Hill,AU,82.6,clear sky,-31.95,141.4333,Royal Exchange Hotel
88,Yatou,CN,48.88,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
89,Wooster,US,56.64,moderate rain,40.8051,-81.9351,Hilton Garden Inn Wooster
90,Constantine,DZ,41.7,broken clouds,36.365,6.6147,Grand Hotel Cirta
91,Shache,CN,41.41,overcast clouds,38.4167,77.2406,Delong Hotel
93,Manutuke,NZ,65.98,scattered clouds,-38.6833,177.9167,Jolly Stockman Hotel
94,Komsomolskiy,UZ,47.12,haze,40.4272,71.7189,Ikathouse
96,Port Alfred,ZA,75.22,light rain,-33.5906,26.891,The Halyards Hotel
99,Jacmel,HT,75.04,clear sky,18.2342,-72.5347,Historic Hotel Florita
100,Hamilton,US,61.77,light rain,39.1834,-84.5333,Six Acres Bed & Breakfast
102,Constitucion,CL,55.42,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
104,Olafsvik,IS,41.25,broken clouds,64.8945,-23.7142,Hotel Olafsvik
105,Vestmannaeyjar,IS,40.19,scattered clouds,63.4427,-20.2734,Glamping & Camping
108,Hithadhoo,MV,81.48,overcast clouds,-0.6,73.0833,Scoop Guest House
109,Comodoro Rivadavia,AR,53.46,clear sky,-45.8667,-67.5,Austral Hotel
111,Porto Walter,BR,70.56,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
112,Bredasdorp,ZA,59.29,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
113,Buala,SB,79.27,light rain,-8.145,159.5921,Maringe Lagoon Lodge
114,Wilmington,US,57.85,mist,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
116,Isangel,VU,79.02,clear sky,-19.55,169.2667,Tanna Lodge
118,Liku,ID,81.64,overcast clouds,-0.7275,119.8922,Wahyu
120,Sulangan,PH,82.45,overcast clouds,11.1373,123.7228,Maia's Beach Resort
126,Pak Phanang,TH,80.98,overcast clouds,8.3511,100.202,Green Park Inn Hotel
127,Balsas,BR,71.56,overcast clouds,-7.5325,-46.0356,Novo Hotel
128,Biak,ID,81.03,overcast clouds,-0.9131,122.8766,Penginapan Kim
131,Riyadh,SA,75.25,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
