City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
0,Puerto Ayora,EC,-0.7393,-90.3518,66.67,94,100,6.46,overcast clouds
1,Mataura,NZ,-46.1927,168.8643,51.48,68,75,7.47,broken clouds
2,Avarua,CK,-21.2078,-159.775,78.85,89,40,8.05,light rain
3,Kieta,PG,-6.2167,155.6333,80.89,85,100,2.53,light rain
4,Atar,MR,20.5169,-13.0499,65.21,12,87,9.42,overcast clouds
5,Punta Arenas,CL,-53.15,-70.9167,43.29,75,100,6.49,overcast clouds
6,Codrington,AU,-38.2667,141.9667,62.94,64,2,14.14,clear sky
7,Talnakh,RU,69.4865,88.3972,-12.8,99,100,13.98,light snow
8,Durango,MX,24.8333,-104.8333,55.49,37,100,5.37,overcast clouds
9,Hermanus,ZA,-34.4187,19.2345,66.9,81,100,6.44,overcast clouds
10,Albany,US,42.6001,-73.9662,44.31,75,100,1.99,overcast clouds
11,Atuona,PF,-9.8,-139.0333,78.26,80,23,20.74,light rain
12,Cape Town,ZA,-33.9258,18.4232,64.27,82,75,3.0,broken clouds
13,Khatanga,RU,71.9667,102.5,-10.03,96,100,8.75,overcast clouds
14,Chokurdakh,RU,70.6333,147.9167,-43.87,99,57,5.88,broken clouds
15,Akyab,MM,20.15,92.9,82.89,65,15,12.41,few clouds
16,Carnarvon,AU,-24.8667,113.6333,76.96,68,3,20.4,clear sky
17,Jhelum,PK,32.9331,73.7264,73.0,33,0,6.67,clear sky
18,Hobart,AU,-42.8794,147.3294,71.26,52,75,5.99,broken clouds
19,Kruisfontein,ZA,-34.0033,24.7314,63.88,83,100,17.65,light rain
20,Axim,GH,4.8699,-2.2405,82.09,79,12,7.29,few clouds
21,Ponta Do Sol,PT,32.6667,-17.1,65.03,70,19,9.13,few clouds
22,Tlaxco,MX,19.6167,-98.1167,48.99,64,100,3.36,overcast clouds
23,Richards Bay,ZA,-28.783,32.0377,88.39,50,14,9.62,few clouds
24,Upernavik,GL,72.7868,-56.1549,28.15,93,100,16.78,overcast clouds
25,Touros,BR,-5.1989,-35.4608,78.84,81,33,13.15,scattered clouds
26,Rikitea,PF,-23.1203,-134.9692,76.08,76,99,5.97,light rain
27,Lebu,CL,-37.6167,-73.65,54.64,83,0,4.94,clear sky
28,Pavilosta,LV,56.8879,21.1859,21.15,84,41,10.65,scattered clouds
29,Esplanada,BR,-11.7961,-37.945,69.91,98,43,2.77,scattered clouds
30,Cuamba,MZ,-14.8031,36.5372,89.01,39,100,7.14,overcast clouds
31,Thaba-Tseka,LS,-29.522,28.6084,60.6,47,2,28.07,clear sky
32,Mahebourg,MU,-20.4081,57.7,84.49,61,75,16.11,light rain
33,Pinega,RU,64.7001,43.3936,15.26,85,27,8.5,scattered clouds
34,Saint-Augustin,CA,51.226,-58.6502,18.45,67,5,9.26,clear sky
35,Yellowknife,CA,62.456,-114.3525,-25.08,68,40,2.3,scattered clouds
36,Ribeira Grande,PT,38.5167,-28.7,64.8,63,40,9.22,scattered clouds
37,Torbay,CA,47.6666,-52.7314,29.26,82,89,1.99,overcast clouds
38,Tasiilaq,GL,65.6145,-37.6368,30.36,96,100,12.75,snow
39,Barrow,US,71.2906,-156.7887,24.82,80,90,20.71,snow
40,Fortuna,US,40.5982,-124.1573,49.35,74,90,0.0,overcast clouds
41,Cockburn Town,TC,21.4612,-71.1419,80.22,77,15,19.26,few clouds
42,Zabid,YE,14.1951,43.3152,86.58,43,0,6.04,clear sky
43,East London,ZA,-33.0153,27.9116,76.14,73,40,8.05,scattered clouds
44,New Norfolk,AU,-42.7826,147.0587,70.92,46,67,5.99,light rain
45,Stornoway,GB,58.2093,-6.3865,40.96,89,40,7.0,scattered clouds
46,Kodiak,US,57.79,-152.4072,35.11,80,90,13.8,light snow
47,Port Elizabeth,ZA,-33.918,25.5701,66.09,88,90,20.15,moderate rain
48,Bluff,NZ,-46.6,168.3333,51.8,61,24,19.15,few clouds
49,Kalabo,ZM,-14.97,22.6814,85.06,45,77,2.73,broken clouds
50,Port Hedland,AU,-20.3167,118.5667,100.45,27,46,14.97,scattered clouds
51,Geraldton,AU,-28.7667,114.6,81.01,50,0,24.16,clear sky
52,Arraial Do Cabo,BR,-22.9661,-42.0278,73.11,92,100,16.44,overcast clouds
53,Butaritari,KI,3.0707,172.7902,82.56,76,99,16.2,light rain
54,Sitka,US,57.0531,-135.33,33.69,80,90,4.61,overcast clouds
55,Renqiu,CN,38.6989,116.0936,48.85,29,0,8.21,clear sky
56,Eilenburg,DE,51.4598,12.6334,33.89,94,99,5.55,overcast clouds
57,Kapaa,US,22.0752,-159.319,72.12,86,75,1.01,light rain
58,Busselton,AU,-33.65,115.3333,77.09,39,0,8.05,clear sky
59,Vaini,TO,-21.2,-175.2,77.16,83,40,8.05,scattered clouds
60,Dalby,AU,-27.1833,151.2667,74.98,56,99,14.14,moderate rain
61,Kutum,SD,14.2,24.6667,72.37,17,5,8.1,clear sky
62,Dehloran,IR,32.6941,47.2679,68.31,28,52,8.72,broken clouds
63,Lavrentiya,RU,65.5833,-171.0,21.96,93,100,9.04,light snow
64,Ternate,ID,0.8,127.4,82.6,77,100,9.06,overcast clouds
65,Dingle,PH,10.9995,122.6711,80.46,76,97,9.48,overcast clouds
66,Mao,ES,39.8885,4.2658,46.96,76,20,9.22,few clouds
67,Jamestown,US,42.097,-79.2353,49.71,87,100,10.0,overcast clouds
68,Huarmey,PE,-10.0681,-78.1522,65.44,91,96,7.78,overcast clouds
69,Zhicheng,CN,30.2956,111.5047,66.65,33,0,7.72,clear sky
70,Kupang,ID,-10.1667,123.5833,77.58,100,75,20.71,very heavy rain
71,Tonstad,NO,58.6626,6.7169,32.25,83,100,8.21,overcast clouds
72,Padang,ID,-0.9492,100.3543,87.85,66,44,4.79,scattered clouds
